Number_of_Video,Text,Annotation,Textual_Sentiment_Analysis,Audio_Sentiment_Analysis,Video_Sentiment_Analysis,Start_Frame,End_Frame
616,aber wenn sie,neutral,neutral,negative,neutral,8287,8288
617,"ich tun, was will ich denn für sie tun?",neutral,negative,neutral,neutral,8296,8298
618,"Da denke ich sowas sowas, was ich nur denken lässt.",neutral,positive,negative,neutral,8302,8305
619,"Fort, fort ich will sie nicht aber",negative,negative,negative,neutral,8306,8308
620,nein.,negative,neutral,negative,neutral,8310,8311
621,Wer sie unschuldig in diesen Abgrund gestürzt hat zieht sie jetzt hier wieder heraus.,negative,negative,negative,neutral,8312,8316
622,"Sie hier, mein Vater.",neutral,neutral,positiv,neutral,8337,8341
623,Und der Graf nicht hier.,negative,negative,negative,neutral,8346,8349
624,"Wo ich sein kann und ruhig sein müssen, kommt das nicht auf ein.",neutral,negative,positiv,neutral,8357,8361
625,"Alles verloren, dass wir wohl ruhig sein müssen.",neutral,negative,positiv,neutral,8364,8369
626,"So ist sie wahr. Die ganze schreckliche Geschichte, die ich in den nassen Augen.",neutral,positive,positiv,neutral,8394,8398
627,wo ist meine Mutter,negative,neutral,positiv,neutral,8400,8401
628,"Voraus, wenn wir ihr denn nachkommen.",positive,negative,negative,negative,8403,8407
629,"Warum, was verweilen wir noch hier. Du bist, du bleibst.",neutral,negative,positiv,neutral,8413,8417
630,Bleibe in seinen Händen.,neutral,neutral,negative,neutral,8420,8421
631,Ohne deine Mutter ohne mich.,negative,neutral,positiv,neutral,8423,8425
632,Ich allein in seinen Händen.,negative,neutral,negative,neutral,8440,8443
633,Lassen Sie mich nur,neutral,positive,negative,neutral,8450,8452
634,lassen Sie mich,neutral,positive,negative,neutral,8455,8456
635,ich will doch sehen wer mich hält,negative,neutral,negative,neutral,8463,8464
636,"aber was nennen sie ruhig sein die Hände in den Schoß legen leiden, was man nicht solltet dulden, was man nicht dürfte.",negative,negative,positiv,neutral,8479,8488
637,"Wenn du so denkst,  wenn das deine Ruhe ist: so habe ich meine in ihr wiedergefunden! Denke nur: unter dem Vorwande einer gerichtlichen Untersuchung, – o des höllischen Gaukelspieles! – reißt er dich aus unsern Armen, und bringt dich zur Grimaldi.
Reißt mich? bringt mich? – Will mich reißen; will mich bringen:",negative,positive,positiv,neutral,8489,8507
638,Mir geben Sie diesen Dolch.,neutral,neutral,positiv,neutral,8522,8523
639,Habe Blut.,negative,neutral,positiv,neutral,8537,8538
640,Mein Vater sogar mal so jugendliches Blut als eine.,negative,neutral,positiv,neutral,8540,8546
641,Auch meine Sinne sind Sinne.,negative,positive,negative,neutral,8547,8549
642,"Ich stehe für nichts, ich bin für nichts gut.",negative,positive,positiv,neutral,8551,8555
643,"Ich kenne das Haus der Grimaldis ist das Haus der Freude eine Stunde da unter den Augen meiner Mutter und es erhob sich so mancher Tumult in meiner Seele den die strengsten Übungen der Religion, kaum in Wochen, besänftigen konnten. Der Religion.",negative,positive,positiv,neutral,8558,8576
644,Und welcher Religion?,negative,neutral,negative,neutral,8577,8579
645,Geben Sie mir mein Vater.,positive,neutral,negative,neutral,8582,8584
646,"Gewalt, Wer kann der Gewalt nicht trotzen, was Gewalt heißt ist nichts.",negative,negative,positiv,neutral,8585,8600
647,Verführung ist die wahre Gewalt.,neutral,negative,positiv,neutral,8601,8604
648,Geben Sie mir mein Vater.,neutral,neutral,positiv,neutral,8606,8607
649,"geben Sie mir diesen Dolch, und wenn ich dir ihn nun gebe, nein, das ist nicht für deine Hand.",negative,negative,positiv,neutral,8609,8625
650,"Du gehörest nicht in das Haar einer, – wie mein Vater will, daß ich werden soll!",negative,negative,positiv,negative,8630,8644
651,"Wird ihm wohl gab es einen Vater, der seine Tochter vor der Schande zu retten ihr den ersten den besten Stahl in das Herz senkte und ihr zum zweiten mal",negative,positive,positiv,positive,8646,8658
652,Aber alle solche Taten sind von eh dem,negative,neutral,positiv,positive,8663,8667
653,Und solcher Väter gibt es keine mehr.,negative,neutral,negative,positive,8669,8672
654,Lass dich umarmen meine Tochter.,positive,positive,neutral,neutral,8685,8689
655,"Das Weib wollte die Natur zu ihrem Meisterstücke machen, aber sie vergriff sich im Ton und sie nahm ihn zu fein, sonst ist alles besser an euch hat als an uns.",positive,positive,negative,neutral,8691,8701
656,Lass dich umarmen meine Tochter.,positive,positive,negative,negative,8713,8716
657,Gott was habe ich getan?,negative,negative,positiv,neutral,8734,8737
658,Rose gebrochen,negative,negative,positiv,neutral,8739,8741
659,ehe der Sturm sie entblättert.,positive,neutral,positiv,neutral,8742,8745
660,sie mein Vater.,neutral,neutral,positiv,neutral,8747,8750
661,ich selbst,neutral,neutral,negative,neutral,8751,8752
662,"ich selbst, nich du meine Tochter nicht du",negative,negative,negative,neutral,8753,8755
663,Kenne keine Unwahrheit aus der Welt.,positive,negative,negative,neutral,8756,8758
664,ziehen,neutral,neutral,neutral,neutral,8763,8764
665,nun da,negative,neutral,positiv,neutral,8792,8792
666,"gefällt sie ihnen noch, reizt sie noch ihre Lüste, noch in diesem Blut.",negative,positive,negative,neutral,8798,8805
667,Aber sie erwarten wohl.,neutral,neutral,negative,neutral,8812,8813
668,Das alles hinausschaut.,neutral,neutral,negative,neutral,8814,8816
669,Hier warst du vielleicht dass ich dich ein Star wieder mich selbst gehen werde.,neutral,negative,negative,neutral,8817,8822
670,"Hier liegt er, der blutige zeuge meine Verbrechen.",negative,positive,negative,neutral,8830,8833
671,"Ich gehe und liefere mich selbst in das Gefängnis, ich gehe und erwartete sie als Richter.",negative,neutral,positiv,neutral,8837,8845
672,Dann erwarte ich sie vor dem Richter unser aller.,negative,neutral,positiv,neutral,8847,8852
